nom,id,nom,match,"﻿""mcode""",population,établissements,eta per capita,habitant par éta
Labelle,3607362394,labelle,Labelle,78120,2537,4,"0,00157666535277887","634,25"
Saint-Donat,3607707055,saintdonat,Saint-Donat,62060,4469,7,"0,00156634593868874","638,428571428571"
Saint-Donat,3608226225,saintdonat,Saint-Donat,62060,4469,7,"0,00156634593868874","638,428571428571"
Les Bergeronnes,3607719068,lesbergeronnes,Les Bergeronnes,95018,641,1,"0,0015600624024961",641
Montcalm,3607692503,montcalm,Montcalm,78055,642,1,"0,00155763239875389",642
Rosemère,3607703992,rosemere,Rosemère,73020,14129,22,"0,00155708118055064","642,227272727273"
Maniwaki,3607357979,maniwaki,Maniwaki,83065,3854,6,"0,00155682407887909","642,333333333333"
Cloridorme,3608237875,cloridorme,Cloridorme,3010,647,1,"0,00154559505409583",647
La Pocatière,3608120207,lapocatiere,La Pocatière,14085,3905,6,"0,00153649167733675","650,833333333333"
Matagami,3608478658,matagami,Matagami,99015,1305,2,"0,00153256704980843","652,5"
Mont-Saint-Grégoire,3607820570,montsaintgregoire,Mont-Saint-Grégoire,56097,3296,5,"0,00151699029126214","659,2"
Vaudreuil-Dorion,3607696239,vaudreuildorion,Vaudreuil-Dorion,71083,41019,62,"0,00151149467320022","661,596774193548"
Saint-Augustin,3607734575,saintaugustin,Saint-Augustin,98012,668,1,"0,00149700598802395",668
Saint-Magloire,3608199040,saintmagloire,Saint-Magloire,28075,668,1,"0,00149700598802395",668
Saint-Augustin,3608374228,saintaugustin,Saint-Augustin,98012,668,1,"0,00149700598802395",668
L'Île-Perrot,3607696235,lileperrot,L'Île-Perrot,71060,11455,17,"0,00148406809253601","673,823529411765"
Notre-Dame-de-la-Paix,3607572128,notredamedelapaix,Notre-Dame-de-la-Paix,80020,679,1,"0,00147275405007364",679
Ferme-Neuve,3601490845,fermeneuve,Ferme-Neuve,79097,2727,4,"0,00146681334800147","681,75"
Sutton,3607926992,sutton,Sutton,46058,4093,6,"0,00146591741998534","682,166666666667"
Saint-Mathieu-de-Rioux,3608228994,saintmathieuderioux,Saint-Mathieu-de-Rioux,11050,687,1,"0,00145560407569141",687
Sainte-Thérèse,3607703993,saintetherese,Sainte-Thérèse,73010,26561,38,"0,00143066902601559","698,973684210526"
Sainte-Anne-des-Monts,3608240889,sainteannedesmonts,Sainte-Anne-des-Monts,4037,6359,9,"0,00141531687372228","706,555555555556"
Lac-au-Saumon,3608262627,lacausaumon,Lac-au-Saumon,7057,1414,2,"0,00141442715700141",707
Campbell's Bay,3607041641,campbellsbay,Campbell's Bay,84030,709,1,"0,00141043723554302",709
Dunham,3607926999,dunham,Dunham,46050,3606,5,"0,00138657792567942","721,2"
Saint-Alexis,3607704061,saintalexis,Saint-Alexis,63023,1453,2,"0,00137646249139711","726,5"
Montréal,3601634158,montreal,Montréal,66023,1800055,2476,"0,0013755135259756","727,001211631664"
Saint-Gabriel-de-Valcartier,3607716429,saintgabrieldevalcartier,Saint-Gabriel-de-Valcartier,22025,3758,5,"0,00133049494411921","751,6"
Bouchette,3607041003,bouchette,Bouchette,83050,752,1,"0,00132978723404255",752
Saint-Ignace-de-Stanbridge,3607927000,saintignacedestanbridge,Saint-Ignace-de-Stanbridge,46095,752,1,"0,00132978723404255",752
Notre-Dame-Auxiliatrice-de-Buckland,3608180279,notredameauxiliatricedebuckland,Notre-Dame-Auxiliatrice-de-Buckland,19010,754,1,"0,0013262599469496",754
Notre-Dame-de-Montauban,3608478961,notredamedemontauban,Notre-Dame-de-Montauban,35005,765,1,"0,00130718954248366",765
Mont-Laurier,3601490837,montlaurier,Mont-Laurier,79088,14562,19,"0,00130476582886966","766,421052631579"
Deschambault-Grondines,3608277335,deschambaultgrondines,Deschambault-Grondines,34058,2317,3,"0,00129477772982305","772,333333333333"
Shawville,3608353789,shawville,Shawville,84010,1552,2,"0,00128865979381443",776
Sainte-Brigitte-des-Saults,3607932210,saintebrigittedessaults,Sainte-Brigitte-des-Saults,49085,784,1,"0,00127551020408163",784
Eastman,3607950490,eastman,Eastman,45093,2363,3,"0,00126957257723233","787,666666666667"
Côte-Nord-du-Golfe-du-Saint-Laurent,3607734578,cotenorddugolfedusaintlaurent,Côte-Nord-du-Golfe-du-Saint-Laurent,98015,792,1,"0,00126262626262626",792
Disraeli (ville),3608055330,disraeli,Disraeli,31015,2379,3,"0,00126103404791929",793
Disraeli (paroisse),3608055331,disraeli,Disraeli,31015,2379,3,"0,00126103404791929",793
Chelsea,3607045744,chelsea,Chelsea,82025,8825,11,"0,00124645892351275","802,272727272727"
Shawinigan,3607711552,shawinigan,Shawinigan,36033,49571,61,"0,00123055818926388","812,639344262295"
La Patrie,3607953235,lapatrie,La Patrie,41027,813,1,"0,001230012300123",813
Coaticook,3607953163,coaticook,Coaticook,44037,9008,11,"0,00122113676731794","818,909090909091"
Kiamika,3607361739,kiamika,Kiamika,79025,822,1,"0,00121654501216545",822
Pointe-Claire,3600197576,pointeclaire,Pointe-Claire,66097,33714,41,"0,00121611200094916","822,292682926829"
Rivière-du-Loup,3608189523,riviereduloup,Rivière-du-Loup,12072,20050,24,"0,00119700748129676","835,416666666667"
Nouvelle,3608271764,nouvelle,Nouvelle,6020,1686,2,"0,00118623962040332",843
Saint-Jean-Port-Joli,3608188530,saintjeanportjoli,Saint-Jean-Port-Joli,17070,3427,4,"0,00116720163408229","856,75"
Natashquan,3607734510,natashquan,Natashquan,98806,858,1,"0,00116550116550117",858
Ham-Nord,3607997275,hamnord,Ham-Nord,39010,862,1,"0,00116009280742459",862
Saint-Alphonse-Rodriguez,3607707053,saintalphonserodriguez,Saint-Alphonse-Rodriguez,62025,3451,4,"0,00115908432338453","862,75"
Stanbridge East,3607927002,stanbridgeeast,Stanbridge East,46045,867,1,"0,00115340253748558",867
Venise-en-Québec,3601600480,veniseenquebec,Venise-en-Québec,56005,1741,2,"0,00114876507754164","870,5"
Dollard-des-Ormeaux,3600197601,dollarddesormeaux,Dollard-des-Ormeaux,66142,49908,57,"0,00114210146669873","875,578947368421"
Sayabec,3608262624,sayabec,Sayabec,7085,1752,2,"0,00114155251141553",876
Sacré-Coeur,3607719069,sacrecoeur,Sacré-Coeur,95010,1770,2,"0,00112994350282486",885
Duhamel-Ouest,3608368053,duhamelouest,Duhamel-Ouest,85030,891,1,"0,00112233445566779",891
Bois-des-Filion,3607703989,boisdesfilion,Bois-des-Filion,73030,10706,12,"0,0011208668036615","892,166666666667"
Saint-Fabien,3608138192,saintfabien,Saint-Fabien,10070,1799,2,"0,00111172873818788","899,5"
