nom,id,nom,match,"﻿""mcode"""
Saint-Alexis,3607704061,saintalexis,Saint-Alexis,63023
Sainte-Julienne,3607704062,saintejulienne,Sainte-Julienne,63060
Saint-Calixte,3607704063,saintcalixte,Saint-Calixte,63055
Saint-Esprit,3607704064,saintesprit,Saint-Esprit,63030
Saint-Roch-de-l'Achigan,3607704065,saintrochdelachigan,Saint-Roch-de-l'Achigan,63035
Saint-Roch-Ouest,3607704066,saintrochouest,Saint-Roch-Ouest,63040
Saint-Lin–Laurentides,3607704067,saintlinlaurentides,Saint-Lin--Laurentides,63048
Mascouche,3607704069,mascouche,Mascouche,64015
Terrebonne,3607704070,terrebonne,Terrebonne,64008
Saint-Sulpice,3607706376,saintsulpice,Saint-Sulpice,60020
L'Assomption,3607706379,lassomption,L'Assomption,60028
Repentigny,3607706380,repentigny,Repentigny,60013
Charlemagne,3607706381,charlemagne,Charlemagne,60005
Sainte-Mélanie,3607706446,saintemelanie,Sainte-Mélanie,61050
Notre-Dame-de-Lourdes,3607706447,notredamedelourdes,Notre-Dame-de-Lourdes,61045
Saint-Thomas,3607706448,saintthomas,Saint-Thomas,61027
Notre-Dame-des-Prairies,3607706449,notredamedesprairies,Notre-Dame-des-Prairies,61030
Saint-Ambroise-de-Kildare,3607706450,saintambroisedekildare,Saint-Ambroise-de-Kildare,61040
Saint-Charles-Borromée,3607706451,saintcharlesborromee,Saint-Charles-Borromée,61035
Joliette,3607706452,joliette,Joliette,61025
Saint-Pierre,3607706453,saintpierre,Saint-Pierre,61020
Crabtree,3607706454,crabtree,Crabtree,61013
Saint-Paul,3607706455,saintpaul,Saint-Paul,61005
Saint-Michel-des-Saints,3607707045,saintmicheldessaints,Saint-Michel-des-Saints,62085
Saint-Zénon,3607707046,saintzenon,Saint-Zénon,62080
Saint-Damien,3607707047,saintdamien,Saint-Damien,62075
Sainte-Émélie-de-l'Énergie,3607707048,sainteemeliedelenergie,Sainte-Émélie-de-l'Énergie,62070
Saint-Jean-de-Matha,3607707049,saintjeandematha,Saint-Jean-de-Matha,62015
Saint-Félix-de-Valois,3607707050,saintfelixdevalois,Saint-Félix-de-Valois,62007
Saint-Côme,3607707051,saintcome,Saint-Côme,62065
Sainte-Béatrix,3607707052,saintebeatrix,Sainte-Béatrix,62020
Saint-Alphonse-Rodriguez,3607707053,saintalphonserodriguez,Saint-Alphonse-Rodriguez,62025
Sainte-Marcelline-de-Kildare,3607707054,saintemarcellinedekildare,Sainte-Marcelline-de-Kildare,62030
